#{"t_start": 1625075721.7780387, "env_id": null}
r,l,t
42.320683,675,90.43181
34.106663,675,90.43181
19.628347,361,90.48881
35.47299,361,90.48881
-5.5276446,157,90.524809
18.446934,157,90.524809
25.512606,143,91.32781
8.375685,143,91.32881
49.988403,465,91.65081
29.961443,465,91.65081
23.337177,383,92.024808
47.21271,383,92.024808
25.109959,581,92.138809
52.351025,581,92.13981
1.9018651,227,92.538873
7.6587,227,92.538873
26.917469,248,92.587873
5.2328954,248,92.587873
29.560823,112,92.907871
3.18809,112,92.907871
41.89221,675,94.127873
37.98545,675,94.127873
2.980309,128,94.167871
19.427765,128,94.167871
-3.2772434,218,95.15995
21.756947,218,95.15995
16.947182,387,95.15995
44.9158,387,95.15995
41.597473,675,95.387955
30.280931,675,95.387955
30.581985,311,95.456949
37.350533,311,95.456949
11.057515,441,95.596947
39.245266,441,95.596947
35.774704,586,95.736948
47.317677,586,95.736948
26.168451,675,96.324018
34.59652,675,96.324018
39.678493,675,97.470018
44.229477,675,97.470018
41.908653,608,98.190016
60.424297,608,98.190016
63.558506,527,98.821018
46.01521,527,98.821018
26.841919,592,98.853017
40.948658,592,98.853017
35.15197,675,99.252017
51.939545,675,99.252017
25.66942,459,99.917019
49.440334,459,99.917019
16.82984,355,99.917019
30.42967,355,99.917019
55.07359,591,100.020017
32.528465,591,100.020017
9.271574,273,100.153018
40.536247,273,100.153018
17.2507,63,100.177018
3.4755392,63,100.177018
38.95712,354,100.389017
19.197508,354,100.389017
7.551443,228,100.480017
26.410463,228,100.480017
23.47566,524,100.629018
42.38312,524,100.629018
43.28514,675,101.000018
64.32159,675,101.000018
33.909325,276,101.297566
10.204859,276,101.297566
-4.7235813,63,101.316566
8.200095,63,101.316566
7.345377,272,101.635568
31.452814,272,101.635568
28.763939,675,102.640568
36.201607,675,102.640568
13.019093,298,102.917567
32.639236,298,102.917567
29.529879,601,103.686083
55.660522,601,103.686083
33.304375,171,104.350601
7.2887073,171,104.350601
29.675373,675,104.463603
29.238497,675,104.463603
34.680737,587,104.5866
50.180534,587,104.5866
4.5386868,254,104.768602
18.063683,254,104.768602
43.810925,451,105.056117
25.695845,451,105.056117
32.285793,295,105.235118
14.820561,295,105.235118
15.198895,451,105.345119
47.58559,451,105.345119
12.050901,260,105.791117
11.537636,260,105.791117
27.298368,589,105.812117
44.62142,589,105.812117
-0.92111,213,106.215119
23.657627,213,106.215119
42.04323,410,106.372118
23.377104,410,106.372118
20.042233,491,106.466634
40.724133,491,106.466634
27.801777,675,106.929635
49.582085,675,106.929635
30.09598,123,107.093633
8.307146,123,107.093633
38.758842,296,116.160633
13.702564,296,116.161634
53.692924,675,116.161634
69.33905,675,116.161634
52.69712,426,116.193632
23.962353,426,116.193632
33.383568,148,116.518674
5.847426,148,116.518674
44.83797,338,116.65867
21.994284,338,116.65867
15.586997,339,116.762671
29.704466,339,116.762671
42.762466,675,117.790705
37.99556,675,117.790705
17.035791,74,117.900706
4.118294,74,117.900706
0.71205795,194,118.852706
23.007603,194,118.852706
-0.9515923,303,119.036708
27.400986,303,119.036708
46.813198,473,119.234704
47.082016,473,119.234704
36.45886,115,120.234706
8.029461,115,120.234706
56.14366,470,120.269705
34.039257,470,120.269705
2.2277668,195,120.554707
16.696802,195,120.554707
34.414753,564,121.035707
