#{"t_start": 1625146166.3198357, "env_id": null}
r,l,t
11.897863,63,80.240796
1.7393596,63,80.240796
41.54472,276,80.451795
14.621635,276,80.452796
44.51894,675,80.879794
38.257835,675,80.879794
50.899456,675,81.100794
55.468285,675,81.100794
0.49279165,213,81.250796
12.502625,213,81.250796
35.36156,258,81.250796
14.674791,258,81.250796
47.38106,517,81.599794
27.805605,517,81.599794
71.90123,443,81.703793
56.910023,443,81.703793
32.411747,517,81.904793
41.152992,517,81.904793
29.77857,478,82.438793
33.47664,478,82.439796
11.359596,388,82.602794
47.104427,388,82.602794
47.695766,675,82.687793
33.08056,675,82.687793
28.183842,76,82.845796
5.3069496,76,82.845796
41.474655,362,83.096794
19.009731,362,83.096794
2.5724332,250,83.110794
24.922466,250,83.110794
48.837727,459,83.328795
36.411854,459,83.328795
49.196342,415,83.463794
39.068386,415,83.463794
41.798504,366,84.348799
15.712378,366,84.348799
4.8266706,294,84.648793
29.233242,294,84.648793
1.5735481,279,84.761793
18.413887,279,84.761793
2.8057382,358,84.845796
25.026398,358,84.846796
17.007198,529,84.931313
49.001175,529,84.931313
22.716959,154,85.899828
12.260086,154,85.899828
34.56974,315,86.120829
14.959757,315,86.120829
8.223803,375,86.68083
38.186836,375,86.68083
-9.792924,243,86.843828
22.410297,243,86.843828
49.305706,675,87.058828
39.450752,675,87.058828
-3.9729357,68,87.218827
15.196986,68,87.218827
17.396503,320,87.310828
37.163876,320,87.310828
-2.0600886,74,87.536829
13.758936,74,87.536829
33.465137,177,87.550829
4.5770235,177,87.550829
-1.2190664,235,87.550829
18.62098,235,87.550829
42.22307,369,87.742828
22.968111,369,87.743827
42.71515,675,87.93083
34.097305,675,87.93083
5.7629986,332,88.289828
26.533546,332,88.289828
28.85894,675,88.54283
30.260138,675,88.54283
46.283306,451,88.632828
24.890406,451,88.632828
38.08945,136,88.913828
5.2615905,136,88.913828
40.0548,382,89.436828
15.876574,382,89.436828
5.2009583,323,90.064829
21.435976,323,90.064829
20.736439,440,90.064829
34.3862,440,90.064829
-3.095575,154,90.064829
21.28051,154,90.064829
45.20207,675,90.142828
37.278442,675,90.142828
23.132864,148,90.160828
2.7890162,148,90.160828
5.328326,358,90.424828
35.73425,358,90.424828
39.592583,675,90.500829
50.5281,675,90.500829
34.84939,675,90.574826
31.098001,675,90.574826
-1.3739189,205,90.67083
17.72212,205,90.67083
44.155647,675,91.04583
36.078102,675,91.04583
17.981623,405,91.268829
22.5152,405,91.268829
41.827763,510,91.395828
48.881855,510,91.395828
46.245476,675,91.676829
42.338535,675,91.676829
45.299206,675,92.034827
37.23641,675,92.034827
36.41651,492,92.049829
36.973156,492,92.049829
27.372368,336,92.437828
13.934952,336,92.437828
38.151413,328,92.546827
18.081654,328,92.546827
18.11096,350,92.901829
24.610212,350,92.901829
23.735825,390,93.007829
22.016336,390,93.007829
44.50593,675,93.270342
29.306442,675,93.270342
-1.8421866,296,93.430343
22.939682,296,93.430343
33.948967,228,94.051346
4.658396,228,94.051346
36.015278,260,94.117342
13.412695,260,94.117342
3.4288447,248,94.208344
10.279547,248,94.208344
37.06473,276,94.292344
19.880455,276,94.292344
-0.7447302,291,94.523344
10.653769,291,94.523344
22.09662,126,94.940861
6.371318,126,94.940861
56.34848,573,95.441858
35.88333,573,95.441858
-7.2384253,146,95.522858
18.333555,146,95.522858
21.793596,414,95.804859
40.975925,414,95.804859
32.60382,207,96.095858
17.32919,207,96.095858
-3.7819884,117,96.654375
18.10156,117,96.654375
39.736828,395,96.876894
12.416721,395,96.876894
18.428,526,96.990893
50.70424,526,96.991893
18.210524,552,97.045892
21.067617,552,97.045892
31.24891,364,97.276891
14.175387,364,97.276891
15.341569,199,97.501892
21.760357,199,97.501892
46.544,675,97.855891
26.227484,675,97.855891
29.328903,415,97.917893
17.842361,415,97.917893
50.968338,433,97.979892
34.992294,433,97.979892
14.470646,306,98.454892
35.079082,306,98.454892
38.15379,177,98.561892
31.064468,177,98.561892
38.37981,675,99.243891
36.731464,675,99.243891
12.883462,331,99.531411
31.894585,331,99.531411
28.651365,465,99.54441
16.024067,465,99.54441
45.835484,675,100.79541
31.870678,675,100.79541
36.367256,675,100.88941
22.573343,675,100.88941
39.376747,675,101.41241
41.92272,675,101.41241
47.654552,445,101.521408
34.73277,445,101.521408
12.737323,421,101.77841
39.00002,421,101.77841
7.0747848,255,101.845408
26.709967,255,101.845408
36.26379,306,102.04441
12.924954,306,102.04441
24.13328,675,102.41941
29.757547,675,102.41941
38.94258,356,102.41941
16.757458,356,102.41941
35.63417,353,102.53641
14.201077,353,102.53641
31.649988,639,110.73141
39.627438,639,110.73141
35.24112,675,110.791409
44.82739,675,110.791409
69.52617,675,111.152927
45.58837,675,111.152927
28.385263,250,111.660927
9.299124,250,111.660927
62.481308,516,112.008926
18.624765,516,112.008926
16.994516,383,112.161926
31.366299,383,112.161926
15.836657,66,112.469928
5.415597,66,112.470927
20.908308,522,112.989926
48.05612,522,112.989926
33.22705,181,113.084928
9.197149,181,113.084928
28.98724,675,113.237926
37.381767,675,113.237926
0.0,1,113.250926
0.0,1,113.250926
-2.2709792,173,113.330927
20.14118,173,113.330927
25.254166,437,113.477928
29.586493,437,113.477928
21.106375,617,113.896927
33.45523,617,113.896927
24.647152,610,114.083928
40.94504,610,114.083928
22.438866,68,114.126927
5.0391455,68,114.126927
11.8585005,297,114.339927
46.592854,297,114.339927
16.278719,322,114.598928
41.092533,322,114.598928
44.463062,495,115.065929
25.890085,495,115.065929
30.95039,212,115.333929
8.1080885,212,115.333929
-3.205652,70,115.361929
14.06061,70,115.361929
12.68533,349,115.414928
33.3341,349,115.414928
17.637556,675,115.626926
31.898056,675,115.626926
4.9733086,332,116.122927
26.515852,332,116.122927
22.527824,675,116.174929
45.110935,675,116.174929
-2.255469,139,116.18893
18.936895,139,116.18893
60.100143,657,116.367927
49.119625,657,116.367927
25.15005,391,116.629929
38.654415,391,116.629929
34.983032,227,116.90693
1.6862842,227,116.90693
31.783873,675,117.186925
47.15011,675,117.186925
13.710192,305,117.972929
27.231005,305,117.972929
-3.309639,230,118.183927
18.88835,230,118.183927
68.03348,675,118.200929
23.373768,675,118.200929
0.25303248,171,118.336929
10.633597,171,118.336929
20.467983,299,118.520444
6.1635213,299,118.520444
29.983147,675,119.434443
39.76704,675,119.434443
8.951745,421,119.447443
27.289328,421,119.447443
31.844221,675,119.522444
35.697445,675,119.522444
36.3425,121,120.120444
8.440769,121,120.120444
8.298023,401,120.240445
34.20377,401,120.240445
26.933775,675,120.357444
23.83363,675,120.357444
69.471436,621,120.488443
32.855705,621,120.488443
31.411535,171,120.721443
10.036416,171,120.721443
54.93082,300,120.773444
16.9861,300,120.773444
68.96913,613,121.029443
36.567516,613,121.029443
44.687294,675,121.125443
47.26739,675,121.125443
38.26199,511,121.138444
26.603825,511,121.138444
9.944666,401,121.530442
28.100952,401,121.530442
16.327175,675,122.284444
36.13715,675,122.284444
20.216274,675,122.720444
44.47577,675,122.720444
19.76886,444,123.122443
36.405483,444,123.122443
11.827944,250,123.204442
29.655413,250,123.204442
29.92544,144,123.282444
11.9421835,144,123.282444
18.220789,411,123.431442
32.465435,411,123.431442
60.961258,529,123.478444
34.317326,529,123.478444
10.099059,256,124.318444
44.584778,256,124.318444
53.323227,639,125.071485
56.948036,639,125.071485
18.99834,125,125.278484
10.279172,125,125.278484
27.869465,325,125.406484
40.753216,325,125.406484
46.7567,675,125.854484
47.164104,675,125.854484
31.5355,572,125.854484
43.38063,572,125.854484
34.019135,196,125.932484
23.513124,196,125.932484
16.964533,316,126.024484
33.177277,316,126.024484
73.61305,641,126.158485
28.442999,641,126.158485
43.722656,675,126.645484
47.349163,675,126.645484
53.17888,533,126.794484
18.606634,533,126.794484
44.157013,382,126.817486
16.424473,382,126.817486
28.914753,474,126.844484
44.18678,474,126.845483
28.335552,591,127.122485
46.19503,591,127.122485
25.845482,675,127.151485
37.727688,675,127.151485
