#{"t_start": 1625160524.0228438, "env_id": null}
r,l,t
55.217392,675,89.014057
44.41795,675,89.014057
19.462002,409,89.143054
34.544743,409,89.143054
28.200087,122,89.143054
4.9503174,122,89.143054
33.278324,675,89.760056
57.190617,675,89.760056
40.783924,675,89.836054
39.790905,675,89.836054
6.571179,195,90.932054
27.405094,195,90.932054
39.670258,675,90.932054
34.14042,675,90.932054
-8.307081,63,91.190053
17.133041,63,91.190053
49.32614,552,91.314054
24.478159,552,91.314054
33.927326,288,91.445055
9.135046,288,91.445055
34.359386,675,91.463053
36.871967,675,91.463053
1.1478249,130,91.490054
22.017607,130,91.491055
27.311825,675,91.920053
40.552883,675,91.920053
71.307915,675,92.465055
82.38731,675,92.465055
33.15174,309,93.153574
23.10018,309,93.153574
52.141422,592,93.275576
42.977844,592,93.275576
3.2762334,39,93.69812
4.7319217,39,93.69812
7.6426167,235,94.66812
27.702297,235,94.66912
22.174717,364,94.794119
38.84859,364,94.794119
12.336961,253,95.573119
33.862595,253,95.573119
41.4325,213,96.675124
6.4877,213,96.676121
33.245876,573,96.93212
47.874485,573,96.93212
24.880827,611,96.967123
67.71663,611,96.967123
27.122011,486,97.32712
14.749103,486,97.32712
51.37842,469,97.74712
29.07619,469,97.74712
30.475403,385,97.843119
49.25791,385,97.843119
56.410767,488,98.045119
22.553747,488,98.045119
44.886932,366,98.385119
15.575942,366,98.385119
35.19477,198,98.492121
21.258583,198,98.492121
7.973304,284,98.710125
35.47153,284,98.710125
20.421396,382,98.844122
48.668484,382,98.844122
32.2174,116,99.70012
3.3475718,116,99.70012
12.940028,315,99.74912
29.670029,315,99.74912
25.396406,221,100.403634
12.693016,221,100.403634
-2.569856,75,100.485159
14.787528,75,100.485159
31.182457,164,100.869665
6.7138004,164,100.869665
24.033043,643,101.769666
71.187256,643,101.769666
18.735727,417,102.150664
44.174877,417,102.150664
26.2245,675,102.288664
35.103104,675,102.288664
19.84362,436,102.899184
38.673775,436,102.899184
32.16287,178,104.357225
14.4697695,178,104.357225
7.525388,270,104.832226
31.527184,270,104.832226
14.402567,279,104.851224
37.476456,279,104.851224
34.983124,675,105.117225
35.836365,675,105.117225
24.054195,441,105.462225
44.586124,441,105.462225
10.391385,243,105.793739
39.395527,243,105.793739
27.391573,66,105.86774
3.4554381,66,105.86774
36.818615,675,106.12674
52.583565,675,106.12674
34.71907,577,106.17774
43.290577,577,106.17774
14.477165,439,106.286741
47.12713,439,106.28774
-5.0923915,66,106.34674
8.090425,66,106.34674
20.191141,675,106.739741
31.404776,675,106.739741
48.376904,412,106.943743
12.852263,412,106.943743
26.018719,619,107.050741
54.441917,619,107.050741
9.950778,295,107.27474
27.81656,295,107.27474
34.341278,419,107.43774
49.508,419,107.438739
-1.275782,304,107.54974
10.8297,304,107.54974
46.72622,675,107.812742
33.745483,675,107.812742
7.8914723,244,107.868741
33.817738,244,107.868741
32.207188,134,108.083745
7.0486836,134,108.083745
27.484882,68,108.41374
2.9797318,68,108.41374
11.652314,305,109.068741
36.63375,305,109.068741
10.028918,655,109.238739
46.23752,655,109.238739
44.212,675,109.58574
38.457794,675,109.58574
17.276585,70,109.64474
3.533944,70,109.64474
30.81312,350,109.72774
13.277533,350,109.72774
38.201515,468,109.866741
57.090763,468,109.866741
60.07704,522,110.155782
50.862225,522,110.155782
-8.586977,68,111.287295
17.188385,68,111.287295
29.118258,233,111.369813
14.0806465,233,111.369813
36.79349,233,111.570813
12.56343,233,111.570813
36.248764,288,111.999815
5.2279453,288,111.999815
35.60061,221,112.927814
19.713202,221,112.927814
15.505316,67,113.140813
3.4249923,67,113.140813
32.95508,158,113.553813
11.361296,158,113.553813
47.916553,341,113.600812
17.865885,341,113.601812
38.08859,304,114.213814
19.31482,304,114.213814
